CHICKEN GOLDEN DELIGHT,690,MED BURST,Food,False,NA,3,Domino's Pizza
CHICKEN DOMINATOR,340,REGULAR,Food,False,NA,3,Domino's Pizza
CHICKEN DOMINATOR,410,REG BURST,Food,False,NA,3,Domino's Pizza
CHICKEN DOMINATOR,700,MEDIUM,Food,False,NA,3,Domino's Pizza
Chicken Denominator + Chicken Boneless(Free),820,MED BURST,Food,False,NA,3,Domino's Pizza
TACO NON VEG,160,NA,Food,False,NA,3,Domino's Pizza
CHICKEN WINGS,160,NA,Food,False,NA,3,Domino's Pizza
CHICKEN BONELESS,170,NA,Food,False,NA,3,Domino's Pizza
MEATBALLS(5 PCS),130,NA,Food,False,NA,3,Domino's Pizza
Roasted Chicken 'n' Cheese,160,NA,Food,,NA,5,Cafe Coffee Day
Smoked Chicken,170,NA,Food,,NA,5,Cafe Coffee Day
Tandoori Chicken,160,NA,Food,,NA,5,Cafe Coffee Day
Veg Samosa,40,NA,Food,,NA,5,Cafe Coffee Day
Chilli Cheese Toast,90,NA,Food,,NA,5,Cafe Coffee Day
Cocoa Fantasy,120,NA,Food,,NA,5,Cafe Coffee Day
Twilight Dessert,210,NA,Food,,NA,5,Cafe Coffee Day
Sizzle Dazzel Brownie,210,NA,Food,,NA,5,Cafe Coffee Day
Dark Passion,210,NA,Food,,NA,5,Cafe Coffee Day
Mango Shot,40,NA,Food,,NA,6,72 Singh Ka Dhaba
Belgian Choco Shot,40,NA,Food,,NA,5,Cafe Coffee Day
Brownie,110,NA,Food,,NA,5,Cafe Coffee Day
Garlic Bread,90,NA,Food,,NA,5,Cafe Coffee Day
Ice Tea,150,NA,Food,,NA,5,Cafe Coffee Day
Assam tea,120,NA,Food,,NA,5,Cafe Coffee Day
Green Tea,120,NA,Food,,NA,5,Cafe Coffee Day
Masala Chai,120,NA,Food,,NA,5,Cafe Coffee Day
BROWNIE DELIGHT,140,NA,Food,,NA,2,Goosebumps
CHOCOLATE DESIRE,175,NA,Food,,NA,2,Goosebumps
FRUITILICIOUS PUNCH,200,NA,Food,,NA,2,Goosebumps
BLUEBERRY WONDER,200,NA,Food,,NA,2,Goosebumps
BUDDY - IM NUTTY,200,NA,Food,,NA,2,Goosebumps
CANDY LAND,100,NA,Food,,NA,2,Goosebumps
FRUIT EXOTICA,150,NA,Food,,NA,2,Goosebumps
FRUIT &NUT,200,NA,Food,,NA,2,Goosebumps
CHOCOLAVA,200,NA,Food,,NA,2,Goosebumps
CHOCOHOLICS,150,NA,Food,,NA,2,Goosebumps
NUTS OVERLOAD,150,NA,Food,,NA,2,Goosebumps
BROWNIE BREAK,150,NA,Food,,NA,2,Goosebumps
CHINESE BHEL,89,NA,Food,,NA,2,Goosebumps
CHOCOLATE SHAKE,100,NA,Food,,NA,2,Goosebumps
NUTELLA SHAKES,100,NA,Food,,NA,2,Goosebumps
PINEAPPLE SHAKES,100,NA,Food,,NA,2,Goosebumps
COLD COFFEE,100,NA,Food,,NA,2,Goosebumps
CHOCO LAVA CAKE,110,NA,Food,True,NA,3,Domino's Pizza
SPICY PANEER,200,NA,Food,True,NA,4,Burger Farm
Momos Chicken,110,NA,Food,False,NA,6,72 Singh Ka Dhaba
Punjab Di Lassi,70,NA,Food,,NA,6,72 Singh Ka Dhaba
Veg Biryani,180,NA,Food,True,NA,7,Bawarchi
Chicken Biryani,250,NA,Food,False,NA,7,Bawarchi
Chicken Dum Biryani,270,NA,Food,False,NA,7,Bawarchi
Mutton Biryani,300,NA,Food,False,NA,7,Bawarchi
Veg Delight,150,NA,Food,,NA,8,Subway
Paneer Tikka,180,NA,Food,,NA,8,Subway
Aloo Patty,180,NA,Food,,NA,8,Subway
Veg PeriPeri,180,NA,Food,,NA,8,Subway
Extra Toppings,50,NA,Food,,NA,8,Subway
Roasted Chicken,200,NA,Food,,NA,8,Subway
Chicken Tikka,200,NA,Food,,NA,8,Subway
Chicken Slice,200,NA,Food,,NA,8,Subway
Italian BMT,220,NA,Food,,NA,8,Subway
Double Meat,60,NA,Food,,NA,8,Subway
Chocolate Donut,80,NA,Food,,NA,9,The Brew Company
Caramel Donut,80,NA,Food,,NA,9,The Brew Company
Whitechocolate Donut,80,NA,Food,,NA,9,The Brew Company
Coffee Donut,80,NA,Food,,NA,9,The Brew Company
Virgin Mojito,130,NA,Food,,NA,9,The Brew Company
Green Apple Mojito,130,NA,Food,,NA,9,The Brew Company
Bluelagoon,130,NA,Food,,NA,9,The Brew Company
Lemonade,130,NA,Food,,NA,9,The Brew Company
Lemon Iced Tea,100,NA,Food,,NA,9,The Brew Company
French Fries,80,NA,Food,,NA,9,The Brew Company
Masala Fries,100,NA,Food,,NA,9,The Brew Company
Nutella Bubble Waffle,200,NA,Food,,NA,2,Goosebumps
Ferrero Rocher,200,NA,Food,,NA,2,Goosebumps
N2O,350,NA,ProfShow,,NA,12,Prof Shows
The Local Train,350,NA,ProfShow,,NA,12,Prof Shows
BUTTER CHICKEN(with Butter Naan),99,NA,Food,,NA,10,Tasty Bites
CHICKEN POPCORN,49,NA,Food,False,NA,10,Tasty Bites
CHICKEN FINGERS,150,NA,Food,False,NA,4,Burger Farm
CHICKEN TIKKI,80,NA,Food,False,NA,10,Tasty Bites
VEG. SMILE,50,NA,Food,True,NA,10,Tasty Bites
VEG. NUGGET,60,NA,Food,True,NA,10,Tasty Bites
POTATO CHEESE SHOT,50,NA,Food,True,NA,10,Tasty Bites
CHILLI GARLIC POTATO,35,NA,Food,True,NA,10,Tasty Bites
VEG. FINGER,40,NA,Food,True,NA,10,Tasty Bites
PLAIN RICE,30,NA,Food,True,NA,10,Tasty Bites
VEGGIE ROLLS,120,NA,Food,True,NA,11,Kaathi Junction
POTATO ROLLS,150,NA,Food,True,NA,11,Kaathi Junction
PANEER ROLLS,210,NA,Food,True,NA,11,Kaathi Junction
PANEER TIKKA ROLLS,230,NA,Food,True,NA,11,Kaathi Junction
PANEER TIKKA,220,NA,Food,True,NA,11,Kaathi Junction
PANEER MALAI TIKKA,260,NA,Food,True,NA,11,Kaathi Junction
CHICKEN TIKKA ROLLS,200,NA,Food,False,NA,11,Kaathi Junction
CHICKEN ROLLS,210,NA,Food,False,NA,11,Kaathi Junction
CHICKEN TANDOORI,230,NA,Food,False,NA,11,Kaathi Junction
