Goosebumps ,Nutella Shake,150,,,,,,,,,
Goosebumps ,Pineapple Shake,100,,,,,,,,,
Goosebumps ,Strawberry Shake,100,,,,,,,,,
Goosebumps ,Vanilla Shake,100,,,,,,,,,
Goosebumps ,Mango Shake,100,,,,,,,,,
Dominos,Pizza farmhouse (R-DD),205,,,,,,,,,
Dominos,Pizza farmhouse(M -DD),431,,,,,,,,,
Dominos,Pizza farmhouse (R -cheese burst),294,,,,,,,,,
Dominos,Pizza farmhouse (M-  cheese burst),508,,,,,,,,,
Dominos,Pizza pappy paneer (R -DD),205,,,,,,,,,
Dominos,Pizza pappy paneer (M  -DD),431,,,,,,,,,
Dominos,Pizza pappy paneer (R- cheese burst),294,,,,,,,,,
Dominos,Pizza pappy paneer (M- cheese burst),508,,,,,,,,,
Dominos,Pizza chicken barbeque (R -DD),205,,,,,,,,,
Dominos,Pizza chicken barbeque (M -DD),431,,,,,,,,,
Dominos,Pizza chicken barbeque (R -cheese burst),294,,,,,,,,,
Dominos,Pizza chicken barbeque (M-  cheese burst),508,,,,,,,,,
Dominos,Pizza chicken tikka (R -DD),242,,,,,,,,,
Dominos,Pizza chicken tikka (M -DD),509,,,,,,,,,
Dominos,Pizza chicken tikka (R- cheese burst),326,,,,,,,,,
Dominos,Pizza chicken tikka (M- cheese burst),576,,,,,,,,,
Dominos,Butter scotch cake,90,,,,,,,,,
Dominos,Chocolava cake,104,,,,,,,,,
Dominos,Garlic bread,100,,,,,,,,,
Dominos,Dips,25,,,,,,,,,
Dominos,TACO veg,131,,,,,,,,,
Dominos,TECO Nveg,142,,,,,,,,,
Dominos,Roasted wings,114,,,,,,,,,
Dominos,Meat ball,104,,,,,,,,,
Dominos,Boneless wings ,146,,,,,,,,,
Liquido,Watermelon Juice,100,,,,,,,,,
Liquido,Harmoney Juice,130,,,,,,,,,
Liquido,Miss Kiwi Juice,150,,,,,,,,,
Liquido,Goldrush Juice,150,,,,,,,,,
Liquido,Flush Juice,150,,,,,,,,,
Liquido,Spinach & Corn Wrap,130,,,,,,,,,
Liquido,Paneer Wrap,150,,,,,,,,,
Liquido,Crunchy Wrap,130,,,,,,,,,
Liquido,Mexican Wrap,150,,,,,,,,,
Liquido,Zeal Fruit Cream Salad,150,,,,,,,,,
Liquido,Zing Sprout Salad,150,,,,,,,,,
Liquido,Cesear Salad,150,,,,,,,,,
Liquido,Al-Kiwi Smoothi,200,,,,,,,,,
STALL 3,Mumbai cha Classic Vada Pav,50,,,,Liquido,Frurious Smoothie,,,,
STALL 3,Ghinnghat Vada Pav,60,,,,,,,,,
STALL 3,Achari Lotpot Vada Pav,60,,,,,,,,,
STALL 3,Chang of China Vada Pav,70,,,,,,,,,
STALL 3,Balle Balle Vada Pav,70,,,,,,,,,
STALL 3,Jaljata Jaljeera Beverage,50,,,,,,,,,
STALL 3,Mere Nimboo ka Lamonade Beverage,50,,,,,,,,,
STALL4,Butterscotch Shake,200,,,,,,,,,
Keventers,Strawberry Shake,200,,,,,,,,,
Keventers,Cold Coffee,200,,,,,,,,,
Keventers,Chocolate Oreo Shake,250,,,,,,,,,
STALL5,Hakka Noodles,200,,,,,,,,,
STALL5,Momos,150,,,,,,,,,
STALL5,Spring Roll,150,,,,,,,,,
STALL5,Koean Sev Puri,200,,,,,,,,,
STALL5,Hummus With Pita Or Lavash,250,,,,,,,,,
STALL5,Tandoori Paneer Tikka,250,,,,,,,,,
STALL5,Blackened Paneer Tikka,250,,,,,,,,,
STALL5,Chicked Momos,200,,,,,,,,,
STALL5,Tandoori Chicken Tikka,300,,,,,,,,,
STALL5,Murgh Malai Tikka,300,,,,,,,,,
